tourney_id,tourney_name,surface,tourney_date,round,best_of,score,tour,retired,total_games,total_sets,total_tiebreaks,player_id,player_name,player_rank,opp_id,opp_name,opp_rank,won_match,games_won,games_lost,sets_won,aces,double_faults,bp_won,bp_faced,bp_saved,bp_faced_opp,svpt,first_in,first_won,second_won,svc_games
2019-0322,Geneva,Clay,2019-05-20,SF,3,7-5 6-7(6) 6-3,atp,0,34,3,1,100644,Alexander Zverev,5.0,105643,Federico Delbonis,84.0,1,19,15,2,15,6,6,6,3,14,94,63,51,15,16
2019-0322,Geneva,Clay,2019-05-20,QF,3,7-5 3-6 6-3,atp,0,30,3,0,100644,Alexander Zverev,5.0,106198,Hugo Dellien,92.0,1,16,14,2,17,4,4,8,5,11,94,63,51,9,15
2019-0322,Geneva,Clay,2019-05-20,R16,3,6-2 6-1,atp,0,15,2,0,100644,Alexander Zverev,5.0,105208,Ernests Gulbis,80.0,1,12,3,2,6,6,5,9,8,8,60,42,34,5,8
2019-520,Roland Garros,Clay,2019-05-27,R128,5,7-6(4) 6-3 2-6 6-7(5) 6-3,atp,0,52,5,2,100644,Alexander Zverev,5.0,105357,John Millman,56.0,1,27,25,3,17,14,7,13,6,17,165,117,86,18,25
2019-520,Roland Garros,Clay,2019-05-27,R64,5,6-1 6-3 7-6(3),atp,0,29,3,1,100644,Alexander Zverev,5.0,144707,Mikael Ymer,148.0,1,19,10,3,12,3,5,4,3,11,88,58,48,15,14
2019-520,Roland Garros,Clay,2019-05-27,R32,5,6-4 6-2 4-6 1-6 6-2,atp,0,43,5,0,100644,Alexander Zverev,5.0,105583,Dusan Lajovic,35.0,1,23,20,3,18,14,8,17,10,19,138,85,62,18,22
2019-520,Roland Garros,Clay,2019-05-27,R16,5,3-6 6-2 6-2 7-6(5),atp,0,38,4,1,100644,Alexander Zverev,5.0,104926,Fabio Fognini,12.0,1,22,16,3,14,12,5,9,7,13,137,96,67,22,19
2019-520,Roland Garros,Clay,2019-05-27,QF,5,7-5 6-2 6-2,atp,0,28,3,0,100644,Alexander Zverev,5.0,104925,Novak Djokovic,1.0,0,9,19,0,10,8,1,11,5,8,84,58,38,9,14
2019-0321,Stuttgart,Grass,2019-06-10,R16,3,6-4 6-7(3) 6-3,atp,0,32,3,1,100644,Alexander Zverev,5.0,104460,Dustin Brown,170.0,0,14,18,1,21,14,1,10,7,14,104,72,59,9,15
2019-0500,Halle,Grass,2019-06-17,QF,3,3-6 6-1 7-6(3),atp,0,29,3,1,100644,Alexander Zverev,5.0,105676,David Goffin,33.0,0,13,16,1,14,9,3,15,11,10,106,70,51,12,14
2019-0500,Halle,Grass,2019-06-17,R16,3,6-3 7-5,atp,0,21,2,0,100644,Alexander Zverev,5.0,105449,Steve Johnson,76.0,1,13,8,2,11,3,3,2,2,6,53,39,33,8,10
2019-0500,Halle,Grass,2019-06-17,R32,3,6-4 7-5,atp,0,22,2,0,100644,Alexander Zverev,5.0,104898,Robin Haase,66.0,1,13,9,2,12,7,4,11,9,14,80,49,35,14,11
2019-540,Wimbledon,Grass,2019-07-01,R128,5,4-6 6-3 6-2 7-5,atp,0,39,4,0,100644,Alexander Zverev,5.0,106210,Jiri Vesely,124.0,0,16,23,1,24,4,1,8,3,7,113,77,57,14,20
2019-0414,Hamburg,Clay,2019-07-22,SF,3,6-4 4-6 7-6(5),atp,0,33,3,1,100644,Alexander Zverev,5.0,105932,Nikoloz Basilashvili,16.0,0,16,17,1,14,9,4,8,4,20,114,69,49,18,16
2019-0414,Hamburg,Clay,2019-07-22,QF,3,2-6 7-5 6-2,atp,0,28,3,0,100644,Alexander Zverev,5.0,105936,Filip Krajinovic,58.0,1,15,13,2,12,5,5,5,1,13,81,57,39,9,14
2019-0414,Hamburg,Clay,2019-07-22,R16,3,6-4 7-6(2),atp,0,23,2,1,100644,Alexander Zverev,5.0,105643,Federico Delbonis,67.0,1,13,10,2,6,3,3,8,6,6,69,45,32,15,11
2019-0414,Hamburg,Clay,2019-07-22,R32,3,6-4 6-2,atp,0,18,2,0,100644,Alexander Zverev,5.0,111797,Nicolas Jarry,38.0,1,12,6,2,5,2,4,5,4,6,55,34,27,10,9
2019-0421,Canada Masters,Hard,2019-08-05,QF,3,6-3 6-3,atp,0,18,2,0,100644,Alexander Zverev,7.0,111575,Karen Khachanov,8.0,0,6,12,0,3,8,0,8,5,2,53,34,24,6,9
2019-0421,Canada Masters,Hard,2019-08-05,R16,3,7-5 5-7 7-6(5),atp,0,37,3,1,100644,Alexander Zverev,7.0,105932,Nikoloz Basilashvili,17.0,1,19,18,2,15,14,5,5,0,18,100,67,49,13,18
